species_code,sci_name,order,family
scbtan2,Heterospingus xanthopygius,Passeriformes,Thraupidae (Tanagers and Allies)
fabtan1,Pipraeidea melanonota,Passeriformes,Thraupidae (Tanagers and Allies)
eurcoo,Fulica atra,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
cubgra,Tiaris canorus,Passeriformes,Thraupidae (Tanagers and Allies)
eurcur,Numenius arquata,Charadriiformes,Scolopacidae (Sandpipers and Allies)
eurdot,Charadrius morinellus,Charadriiformes,Charadriidae (Plovers and Lapwings)
eurgol,Carduelis carduelis,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
eurhob,Falco subbuteo,Falconiformes,Falconidae (Falcons and Caracaras)
venflo1,Diglossa venezuelensis,Passeriformes,Thraupidae (Tanagers and Allies)
rcbfin1,Atlapetes pileatus,Passeriformes,Passerellidae (New World Buntings and Sparrows)
eurwry,Jynx torquilla,Piciformes,Picidae (Woodpeckers)
evegro,Coccothraustes vespertinus,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
spotow1,Pipilo maculatus [oregonus Group],Passeriformes,Passerellidae (New World Buntings and Sparrows)
zapspa1,Torreornis inexpectata,Passeriformes,Passerellidae (New World Buntings and Sparrows)
falcon,Falco sp.,Falconiformes,Falconidae (Falcons and Caracaras)
vinbun1,Emberiza vincenti,Passeriformes,Emberizidae (Old World Buntings)
fepowl,Glaucidium brasilianum,Strigiformes,Strigidae (Owls)
flaowl,Psiloscops flammeolus,Strigiformes,Strigidae (Owls)
flfshe,Ardenna carneipes,Procellariiformes,Procellariidae (Shearwaters and Petrels)
spceup1,Euphonia imitans,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
forter,Sterna forsteri,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
foxspa,Passerella iliaca,Passeriformes,Passerellidae (New World Buntings and Sparrows)
fragul,Leucophaeus pipixcan,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
fuwduc,Dendrocygna bicolor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
gadwal,Mareca strepera,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
glagul,Larus hyperboreus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
gnttow,Pipilo chlorurus,Passeriformes,Passerellidae (New World Buntings and Sparrows)
gnwtea,Anas crecca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
gocspa,Zonotrichia atricapilla,Passeriformes,Passerellidae (New World Buntings and Sparrows)
gofwoo,Melanerpes aurifrons,Piciformes,Picidae (Woodpeckers)
goleag,Aquila chrysaetos,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
gowwar,Vermivora chrysoptera,Passeriformes,Parulidae (New World Warblers)
grbher,Ardea herodias [herodias Group],Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
grecor,Phalacrocorax carbo,Suliformes,Phalacrocoracidae (Cormorants and Shags)
greela,Myiopagis viridicata,Passeriformes,Tyrannidae (Tyrant Flycatchers)
grekno,Calidris tenuirostris,Charadriiformes,Scolopacidae (Sandpipers and Allies)
zimmer1,Zimmerius sp.,Passeriformes,Tyrannidae (Tyrant Flycatchers)
greyel,Tringa melanoleuca,Charadriiformes,Scolopacidae (Sandpipers and Allies)
grgowl,Strix nebulosa,Strigiformes,Strigidae (Owls)
ochpew1,Contopus ochraceus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
tumtyr2,Tumbezia salvini,Passeriformes,Tyrannidae (Tyrant Flycatchers)
grnher,Butorides virescens,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
grnjay,Cyanocorax yncas,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
grnkin,Chloroceryle americana,Coraciiformes,Alcedinidae (Kingfishers)
grnpar,Psittacara holochlorus,Psittaciformes,Psittacidae (New World and African Parrots)
masfru1,Pipreola pulchra,Passeriformes,Cotingidae (Cotingas)
capuch1,Perissocephalus tricolor,Passeriformes,Cotingidae (Cotingas)
ficman1,Machaeropterus pyrocephalus,Passeriformes,Pipridae (Manakins)
grpchi,Tympanuchus cupido,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
grybun,Emberiza variabilis,Passeriformes,Emberizidae (Old World Buntings)
dusmyz1,Myzomela obscura,Passeriformes,Meliphagidae (Honeyeaters)
myzome1,Myzomela sp.,Passeriformes,Meliphagidae (Honeyeaters)
grykin,Tyrannus dominicensis,Passeriformes,Tyrannidae (Tyrant Flycatchers)
guspet,Oceanodroma macrodactyla,Procellariiformes,Hydrobatidae (Storm-Petrels)
gycyel,Geothlypis poliocephala,Passeriformes,Parulidae (New World Warblers)
hawcoo,Fulica alai,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
hawcre,Loxops mana,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
hawcro,Corvus hawaiiensis,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
hawfin,Coccothraustes coccothraustes,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
hawgoo,Branta sandvicensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
hawk,Accipitridae sp. (hawk sp.),Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
hawoo,Moho nobilis,Passeriformes,Mohoidae (Hawaiian Honeyeaters)
heegul,Larus heermanni,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
hilmyn,Gracula religiosa,Passeriformes,Sturnidae (Starlings)
hooori,Icterus cucullatus,Passeriformes,Icteridae (Troupials and Allies)
horlar,Eremophila alpestris,Passeriformes,Alaudidae (Larks)
horpuf,Fratercula corniculata,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)"
houwre,Troglodytes aedon,Passeriformes,Troglodytidae (Wrens)
hutvir,Vireo huttoni,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
incdov,Columbina inca,Columbiformes,Columbidae (Pigeons and Doves)
flatre1,Thripadectes flammulatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
cocwoo3,Xiphorhynchus susurrans [susurrans Group],Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
soosla1,Thamnophilus ambiguus,Passeriformes,Thamnophilidae (Typical Antbirds)
pihwar1,Cardellina versicolor,Passeriformes,Parulidae (New World Warblers)
rehbar1,Eubucco bourcierii,Piciformes,Capitonidae (New World Barbets)
javspa,Lonchura oryzivora,Passeriformes,Estrildidae (Waxbills and Allies)
pluant3,Dysithamnus plumbeus,Passeriformes,Thamnophilidae (Typical Antbirds)
jaweye,Zosterops japonicus,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)"
kakawa,Paroreomyza flammea,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
kalphe,Lophura leucomelanos,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
kelgul,Larus dominicanus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
kenwar,Geothlypis formosa,Passeriformes,Parulidae (New World Warblers)
kinrai,Rallus tenuirostris/elegans,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
kioea,Chaetoptila angustipluma,Passeriformes,Mohoidae (Hawaiian Honeyeaters)
kongro,Chloridops kona,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
kwqdov,Geotrygon chrysia,Columbiformes,Columbidae (Pigeons and Doves)
labduc,Camptorhynchus labradorius,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
lanwar,Locustella lanceolata,Passeriformes,Locustellidae (Grassbirds and Allies)
larfal,Falco sp. (large falcon sp.),Falconiformes,Falconidae (Falcons and Caracaras)
redwar1,Cardellina rubra,Passeriformes,Parulidae (New World Warblers)
laugul,Leucophaeus atricilla,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
layalb,Phoebastria immutabilis,Procellariiformes,Diomedeidae (Albatrosses)
layfin,Telespiza cantans,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
lazbun,Passerina amoena,Passeriformes,Cardinalidae (Cardinals and Allies)
leaauk,Aethia pusilla,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)"
lesnig,Chordeiles acutipennis,Caprimulgiformes,Caprimulgidae (Nightjars and Allies)
libher,Egretta caerulea,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
limpki,Aramus guarauna,Gruiformes,Aramidae (Limpkin)
litgul,Hydrocoloeus minutus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
blcfly1,Empidonax atriceps,Passeriformes,Tyrannidae (Tyrant Flycatchers)
lobdow,Limnodromus scolopaceus,Charadriiformes,Scolopacidae (Sandpipers and Allies)
lobthr,Toxostoma longirostre,Passeriformes,Mimidae (Mockingbirds and Thrashers)
loeowl,Asio otus,Strigiformes,Strigidae (Owls)
loon,Gavia sp.,Gaviiformes,Gaviidae (Loons)
magwar,Setophaga magnolia,Passeriformes,Parulidae (New World Warblers)
manduc,Aix galericulata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
margod,Limosa fedoa,Charadriiformes,Scolopacidae (Sandpipers and Allies)
marsan,Tringa stagnatilis,Charadriiformes,Scolopacidae (Sandpipers and Allies)
eubeat1,Merops apiaster,Coraciiformes,Meropidae (Bee-eaters)
masduc,Nomonyx dominicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
plgrol1,Atelornis pittoides,Coraciiformes,Brachypteraciidae (Ground-Rollers)
rbdhor1,Lophoceros camurus,Bucerotiformes,Bucerotidae (Hornbills)
bronun1,Nonnula brunnea,Galbuliformes,Bucconidae (Puffbirds)
rutjac1,Galbula ruficauda,Galbuliformes,Galbulidae (Jacamars)
westin1,Pogoniulus coryphaea,Piciformes,Lybiidae (African Barbets)
wtgfin1,Emberizoides herbicola,Passeriformes,Thraupidae (Tanagers and Allies)
meapar,Amazona farinosa,Psittaciformes,Psittacidae (New World and African Parrots)
toctou1,Ramphastos toco,Piciformes,Ramphastidae (Toucans)
tawpic1,Picumnus fulvescens,Piciformes,Picidae (Woodpeckers)
reiwoo1,Campethera scriptoricauda,Piciformes,Picidae (Woodpeckers)
crbwoo3,Dendrocopos cathpharius,Piciformes,Picidae (Woodpeckers)
litwoo2,Veniliornis passerinus,Piciformes,Picidae (Woodpeckers)
chewoo2,Celeus elegans,Piciformes,Picidae (Woodpeckers)
robwoo1,Campephilus robustus,Piciformes,Picidae (Woodpeckers)
grnwoo3,Picus viridis sharpei,Piciformes,Picidae (Woodpeckers)
mexjay,Aphelocoma wollweberi/ultramarina,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
mitpar,Psittacara mitratus,Psittaciformes,Psittacidae (New World and African Parrots)
motowl,Ciccaba virgata,Strigiformes,Strigidae (Owls)
moublu,Sialia currucoides,Passeriformes,Turdidae (Thrushes and Allies)
mouchi,Poecile gambeli,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)"
murpet,Pterodroma ultima,Procellariiformes,Procellariidae (Shearwaters and Petrels)
murrel,Brachyramphus/Synthliboramphus sp.,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)"
narfly,Ficedula narcissina,Passeriformes,Muscicapidae (Old World Flycatchers)
naswar,Oreothlypis ruficapilla,Passeriformes,Parulidae (New World Warblers)
nihfin,Telespiza ultima,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
norbob,Colinus virginianus,Galliformes,Odontophoridae (New World Quail)
kebmot1,Electron carinatum,Coraciiformes,Momotidae (Motmots)
norhar,Circus cyaneus/hudsonius,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
norpin,Anas acuta,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
norsho,Spatula clypeata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
norwhe,Oenanthe oenanthe,Passeriformes,Muscicapidae (Old World Flycatchers)
horswi1,Apus horus,Caprimulgiformes,Apodidae (Swifts)
lother1,Phaethornis superciliosus,Caprimulgiformes,Trochilidae (Hummingbirds)
blteme1,Chlorostilbon mellisugus,Caprimulgiformes,Trochilidae (Hummingbirds)
gncwoo2,Thalurania colombica hypochlora,Caprimulgiformes,Trochilidae (Hummingbirds)
whbhum1,Amazilia chionogaster,Caprimulgiformes,Trochilidae (Hummingbirds)
whtsta1,Coeligena phalerata,Caprimulgiformes,Trochilidae (Hummingbirds)
viotro2,Trogon violaceus,Trogoniformes,Trogonidae (Trogons)
jamtod1,Todus todus,Coraciiformes,Todidae (Todies)
nstspa,Ammodramus nelsoni,Passeriformes,Passerellidae (New World Buntings and Sparrows)
nswowl,Aegolius acadicus,Strigiformes,Strigidae (Owls)
kingfi1,Alcedinidae sp.,Coraciiformes,Alcedinidae (Kingfishers)
carela1,Elaenia martinica,Passeriformes,Tyrannidae (Tyrant Flycatchers)
oahama,Chlorodrepanis flava,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
olispa,Arremonops rufivirgatus,Passeriformes,Passerellidae (New World Buntings and Sparrows)
olomao,Myadestes lanaiensis,Passeriformes,Turdidae (Thrushes and Allies)
omao,Myadestes obscurus,Passeriformes,Turdidae (Thrushes and Allies)
orcori,Icterus spurius,Passeriformes,Icteridae (Troupials and Allies)
oripra,Glareola maldivarum,Charadriiformes,Glareolidae (Pratincoles and Coursers)
orsowl,Otus sunia,Strigiformes,Strigidae (Owls)
osprey,Pandion haliaetus,Accipitriformes,Pandionidae (Osprey)
ou,Psittirostra psittacea,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
palbun,Emberiza pallasi,Passeriformes,Emberizidae (Old World Buntings)
parake,Psittaciformes sp. (parakeet sp.),Psittaciformes,
parauk,Aethia psittacula,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)"
parjae,Stercorarius parasiticus,Charadriiformes,Stercorariidae (Skuas and Jaegers)
paspig,Ectopistes migratorius,Columbiformes,Columbidae (Pigeons and Doves)
pecpip,Anthus gustavi,Passeriformes,Motacillidae (Wagtails and Pipits)
peflov,Agapornis roseicollis,Psittaciformes,Psittaculidae (Old World Parrots)
phaino,Phainopepla nitens,Passeriformes,Ptiliogonatidae (Silky-flycatchers)
picoid,Picoides sp.,Piciformes,Picidae (Woodpeckers)
pingro,Pinicola enucleator,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
pinwar,Setophaga pinus,Passeriformes,Parulidae (New World Warblers)
lesela1,Elaenia chiriquensis,Passeriformes,Tyrannidae (Tyrant Flycatchers)
poouli,Melamprosops phaeosoma,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
lotkoe1,Urodynamis taitensis,Cuculiformes,Cuculidae (Cuckoos)
blhcou2,Centropus monachus,Cuculiformes,Cuculidae (Cuckoos)
coccyz1,Coccyzus sp.,Cuculiformes,Cuculidae (Cuckoos)
ausgro1,Tyto longimembris,Strigiformes,Tytonidae (Barn-Owls)
sansco1,Otus collari,Strigiformes,Strigidae (Owls)
versco4,Megascops guatemalae roraimae,Strigiformes,Strigidae (Owls)
nighth1,Chordeiles sp.,Caprimulgiformes,Caprimulgidae (Nightjars and Allies)
prowar,Protonotaria citrea,Passeriformes,Parulidae (New World Warblers)
vauswi1,Chaetura vauxi vauxi,Caprimulgiformes,Apodidae (Swifts)
pterod,Pterodroma sp.,Procellariiformes,Procellariidae (Shearwaters and Petrels)
purswa,Porphyrio sp. (swamphen sp.),Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
rebmer,Mergus serrator,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
reccar,Paroaria coronata,Passeriformes,Thraupidae (Tanagers and Allies)
recpar,Amazona viridigenalis,Psittaciformes,Psittacidae (New World and African Parrots)
recwoo,Picoides borealis,Piciformes,Picidae (Woodpeckers)
redbis,Euplectes orix,Passeriformes,Ploceidae (Weavers and Allies)
reebun,Emberiza schoeniclus,Passeriformes,Emberizidae (Old World Buntings)
reevir,Vireo olivaceus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
renpha,Phalaropus lobatus,Charadriiformes,Scolopacidae (Sandpipers and Allies)
rensap,Sphyrapicus nuchalis,Piciformes,Picidae (Woodpeckers)
rensti,Calidris ruficollis,Charadriiformes,Scolopacidae (Sandpipers and Allies)
retloo,Gavia stellata,Gaviiformes,Gaviidae (Loons)
retpip,Anthus cervinus,Passeriformes,Motacillidae (Wagtails and Pipits)
revbul,Pycnonotus cafer,Passeriformes,Pycnonotidae (Bulbuls)
rewbla,Agelaius phoeniceus,Passeriformes,Icteridae (Troupials and Allies)
roahaw,Rupornis magnirostris,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
rocsan,Calidris ptilocnemis,Charadriiformes,Scolopacidae (Sandpipers and Allies)
rocwre,Salpinctes obsoletus,Passeriformes,Troglodytidae (Wrens)
rosfin,Leucosticte sp.,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
rosgoo,Anser rossii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
rosgul,Rhodostethia rosea,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
rudduc,Oxyura jamaicensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
rudshe,Tadorna ferruginea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
rugdov,Columbina talpacoti,Columbiformes,Columbidae (Pigeons and Doves)
ruqdov,Geotrygon montana,Columbiformes,Columbidae (Pigeons and Doves)
rusbla,Euphagus carolinus,Passeriformes,Icteridae (Troupials and Allies)
ausrai1,Rallus antarcticus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
blacra1,Zapornia flavirostra,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
sunlap1,Vanellus macropterus,Charadriiformes,Charadriidae (Plovers and Lapwings)
sabjay,Cyanocorax sanblasianus,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
auspas1,Rostratula australis,Charadriiformes,Rostratulidae (Painted-Snipes)
belgul,Larus belcheri,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
y00615,Stercorarius sp.,Charadriiformes,Stercorariidae (Skuas and Jaegers)
satpig1,Columba malherbii,Columbiformes,Columbidae (Pigeons and Doves)
amedov1,Phapitreron amethystinus,Columbiformes,Columbidae (Pigeons and Doves)
stelor1,Vini stepheni,Psittaciformes,Psittaculidae (Old World Parrots)
sagthr,Oreoscoptes montanus,Passeriformes,Mimidae (Mockingbirds and Thrashers)
sander,Calidris alba,Charadriiformes,Scolopacidae (Sandpipers and Allies)
wesros1,Platycercus icterotis,Psittaciformes,Psittaculidae (Old World Parrots)
slhpar1,Psittacula himalayana,Psittaciformes,Psittaculidae (Old World Parrots)
savspa,Passerculus sandwichensis,Passeriformes,Passerellidae (New World Buntings and Sparrows)
rofpar4,Pyrrhura roseifrons roseifrons,Psittaciformes,Psittacidae (New World and African Parrots)
scoori,Icterus parisorum,Passeriformes,Icteridae (Troupials and Allies)
scrjay,Aphelocoma sp.,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
selasp,Selasphorus sp.,Caprimulgiformes,Trochilidae (Hummingbirds)
shearw,Procellariidae sp. (shearwater sp.),Procellariiformes,Procellariidae (Shearwaters and Petrels)
shtsan,Calidris acuminata,Charadriiformes,Scolopacidae (Sandpipers and Allies)
shyalb,Thalassarche cauta/salvini/eremita,Procellariiformes,Diomedeidae (Albatrosses)
slbcur,Numenius tenuirostris,Charadriiformes,Scolopacidae (Sandpipers and Allies)
sltred,Myioborus miniatus,Passeriformes,Parulidae (New World Warblers)
smbani,Crotophaga ani,Cuculiformes,Cuculidae (Cuckoos)
snoegr,Egretta thula,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
snoplo,Charadrius alexandrinus/nivosus,Charadriiformes,Charadriidae (Plovers and Lapwings)
sonspa,Melospiza melodia,Passeriformes,Passerellidae (New World Buntings and Sparrows)
gretho1,Discosura conversii,Caprimulgiformes,Trochilidae (Hummingbirds)
korspa1,Passer cordofanicus,Passeriformes,Passeridae (Old World Sparrows)
vilwea5,Ploceus cucullatus spilonotus,Passeriformes,Ploceidae (Weavers and Allies)
sora,Porzana carolina,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
bawman2,Spermestes bicolor bicolor/poensis,Passeriformes,Estrildidae (Waxbills and Allies)
grhpip1,Piprites griseiceps,Passeriformes,Pipridae (Manakins)
cinbec2,Pachyramphus rufus,Passeriformes,Tityridae (Tityras and Allies)
vogbow2,Amblyornis inornata,Passeriformes,Ptilonorhynchidae (Bowerbirds)
whsfai1,Malurus alboscapulatus,Passeriformes,Maluridae (Fairywrens)
spbori,Icterus pectoralis,Passeriformes,Icteridae (Troupials and Allies)
spizel,Spizelloides/Spizella sp.,Passeriformes,Passerellidae (New World Buntings and Sparrows)
spodov,Streptopelia chinensis,Columbiformes,Columbidae (Pigeons and Doves)
spoowl,Strix occidentalis,Strigiformes,Strigidae (Owls)
spotow,Pipilo maculatus,Passeriformes,Passerellidae (New World Buntings and Sparrows)
sprpip,Anthus spragueii,Passeriformes,Motacillidae (Wagtails and Pipits)
stisan,Calidris himantopus,Charadriiformes,Scolopacidae (Sandpipers and Allies)
subfly,Myiodynastes luteiventris,Passeriformes,Tyrannidae (Tyrant Flycatchers)
sulid,Sulidae sp.,Suliformes,Sulidae (Boobies and Gannets)
cibflo1,Diglossa baritula,Passeriformes,Thraupidae (Tanagers and Allies)
surfbi,Calidris virgata,Charadriiformes,Scolopacidae (Sandpipers and Allies)
sursco,Melanitta perspicillata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
swaspa,Melospiza georgiana,Passeriformes,Passerellidae (New World Buntings and Sparrows)
swathr,Catharus ustulatus,Passeriformes,Turdidae (Thrushes and Allies)
swtkit,Elanoides forficatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
teal,Anas sp. (teal sp.),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
thbmur,Uria lomvia,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)"
towwar,Setophaga townsendi,Passeriformes,Parulidae (New World Warblers)
tribla,Agelaius tricolor,Passeriformes,Icteridae (Troupials and Allies)
trokin,Tyrannus melancholicus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
trspet,Oceanodroma tristrami,Procellariiformes,Hydrobatidae (Storm-Petrels)
tunswa,Cygnus columbianus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
verfly,Pyrocephalus rubinus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
virrai,Rallus limicola,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
tromoc1,Mimus gilvus [gilvus Group],Passeriformes,Mimidae (Mockingbirds and Thrashers)
capgls1,Lamprotornis nitens,Passeriformes,Sturnidae (Starlings)
warble,Parulidae sp.,Passeriformes,Parulidae (New World Warblers)
bewpar1,Dendrortyx barbatus,Galliformes,Odontophoridae (New World Quail)
sdcsun3,Cinnyris chalybeus,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters)
ruwsun2,Cinnyris rufipennis,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters)
linsun1,Aethopyga linaraborae,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters)
whiwag5,Motacilla alba personata,Passeriformes,Motacillidae (Wagtails and Pipits)
gyhbun1,Emberiza buchanani,Passeriformes,Emberizidae (Old World Buntings)
scrcac2,Cacicus uropygialis microrhynchus,Passeriformes,Icteridae (Troupials and Allies)
bkhgre1,Chloris ambigua,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
werher,Egretta gularis,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
wesblu,Sialia mexicana,Passeriformes,Turdidae (Thrushes and Allies)
wesgre,Aechmophorus occidentalis,Podicipediformes,Podicipedidae (Grebes)
weskin,Tyrannus verticalis,Passeriformes,Tyrannidae (Tyrant Flycatchers)
wessan,Calidris mauri,Charadriiformes,Scolopacidae (Sandpipers and Allies)
vitwar1,Setophaga vitellina,Passeriformes,Parulidae (New World Warblers)
wfspet,Pelagodroma marina,Procellariiformes,Hydrobatidae (Storm-Petrels)
whcpin,Anas bahamensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
whcspa,Zonotrichia leucophrys,Passeriformes,Passerellidae (New World Buntings and Sparrows)
whehum,Hylocharis leucotis,Caprimulgiformes,Trochilidae (Hummingbirds)
whevir,Vireo griseus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
whiter,Gygis alba,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
whpwil,Antrostomus vociferus/arizonae,Caprimulgiformes,Caprimulgidae (Nightjars and Allies)
whrsan,Calidris fuscicollis,Charadriiformes,Scolopacidae (Sandpipers and Allies)
whrsha,Copsychus malabaricus,Passeriformes,Muscicapidae (Old World Flycatchers)
whteag,Haliaeetus albicilla,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
whtnee,Hirundapus caudacutus,Caprimulgiformes,Apodidae (Swifts)
whtswi,Aeronautes saxatalis,Caprimulgiformes,Apodidae (Swifts)
winwre,Troglodytes pacificus/hiemalis,Passeriformes,Troglodytidae (Wrens)
woopew,Contopus sordidulus/virens,Passeriformes,Tyrannidae (Tyrant Flycatchers)
woothr,Hylocichla mustelina,Passeriformes,Turdidae (Thrushes and Allies)
luzred1,Phoenicurus bicolor,Passeriformes,Muscicapidae (Old World Flycatchers)
burthr1,Geokichla dumasi,Passeriformes,Turdidae (Thrushes and Allies)
easblu1,Sialia sialis sialis/bermudensis,Passeriformes,Turdidae (Thrushes and Allies)
wrspet,Oceanodroma tethys,Procellariiformes,Hydrobatidae (Storm-Petrels)
dushum1,Cynanthus sordidus,Caprimulgiformes,Trochilidae (Hummingbirds)
immwrb1,Pnoepyga immaculata,Passeriformes,Pnoepygidae (Cupwings)
rufbab3,Turdoides subrufa,Passeriformes,Leiothrichidae (Laughingthrushes and Allies)
brrwhe1,Zosterops poliogastrus,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)"
burwhe1,Zosterops buruensis,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)"
yebcha,Icteria virens,Passeriformes,Icteriidae (Yellow-breasted Chat)
yebcuc,Coccyzus americanus,Cuculiformes,Cuculidae (Cuckoos)
yebloo,Gavia adamsii,Gaviiformes,Gaviidae (Loons)
yeejun,Junco phaeonotus,Passeriformes,Passerellidae (New World Buntings and Sparrows)
yegvir,Vireo flavoviridis,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
yehpar,Amazona oratrix,Psittaciformes,Psittacidae (New World and African Parrots)
yelrai,Coturnicops noveboracensis,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
yelwar,Setophaga petechia,Passeriformes,Parulidae (New World Warblers)
zebdov,Geopelia striata,Columbiformes,Columbidae (Pigeons and Doves)
zendov,Zenaida aurita,Columbiformes,Columbidae (Pigeons and Doves)
mikphe1,Syrmaticus mikado,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
fasant1,Cymbilaimus lineatus,Passeriformes,Thamnophilidae (Typical Antbirds)
x00039,Junco hyemalis x Zonotrichia albicollis,Passeriformes,Passerellidae (New World Buntings and Sparrows)
x00050,Larus argentatus x glaucescens,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
y00001,Selasphorus rufus/sasin,Caprimulgiformes,Trochilidae (Hummingbirds)
mosswa2,Cecropis senegalensis,Passeriformes,Hirundinidae (Swallows)
blksaw1,Psalidoprocne pristoptera,Passeriformes,Hirundinidae (Swallows)
paltit2,Periparus amabilis,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)"
